id	func	details_en
D32	D	Determinative for embrace, open. ex. inḳ “envelop,” ḥpt “embrace.”
D33	PI	Phonogram ẖn. Logogram for ẖni “row.”
D34	I	Logogram for ꜥḥꜣ “fight”
D35	PID	Phonogram n. Logogram for n and nn, “not.” Determinative negation.
D36	PI	Phonogram ꜥ. Logogram ꜥ “arm, hand.”
D37	P	Phonogram di in rdi “give.”
D38	PD	Phonogram mi or m. Determinative for imi “give.”
D39	D	Determinative for offer, present. ex. ḥnk “present,” drp “offer.”
D40	ID	Determinative for force, effort. ex. nḫt “strong.” Logogram hꜣi “evaluate.”
D41	PD	Phonogram ni. Determinative for arm. ex. rmn “arm, shoulder.”
D42	ID	Determinative or Logogram for mḥ “cubit”
D43	PI	Phonogram ḫw. Logogram for ḫwi “protect.
D44	ID	Determinative and Logogram for ḫrp “control, be at head of, administer.”
D45	ID	Determinative and Logogram for ḏsr “clear road, sacred, holy.”
D46	PI	Phonogram d. Logogram for ḏrt “hand.”
D47	PD	Determinative for ḏrt “hand” when spelled with Phonogram
D48	I	Logogram šsp “palm, hand-breadth” (measure)
D49	D	Determinative for grasp. ex. ꜣmm “grasp,” ḫfꜥ “seize.”
D50	ID	Logogram for ḏbꜥ “finger,” ḏbꜥ “10,000.” Determinative for accurate, when doubled.
D51	D	Determinative for actions related to finger, fruit, flower. ex. ꜥnt “nail,” ḫꜣi “measure,” dḳr “fruit.”
D52	PID	Phonogram mt. Determinative for male. ex. ꜥꜣ “ass,” ṯꜣy “male.” Logogram kꜣ “bull.”
D53	D	Determinative for male, penis. ex. m bꜣḥ “in the presence of” ḏr bꜣḥ “since,” r bꜣḥ “before.”
D54	PD	Phonogram iw in iwi “come.” Determinative for motion.
D55	D	Determinative for backwards. ex. ꜥnn “turn back,” ḫtḫt “be reversed.”
D56	PD	Phonogram pd. Determinative for leg, foot. ex. rd “leg,” pd “knee.”
D57	D	Determinative for mutilate. ex. iꜣṯ “be mutilated.”
D58	PI	Phonogram b. Logogram for bw “place.”
D59	P	Phonogram ꜥb
D60	I	Logogram for wꜥb “pure, clean.”
D61	I	Logogram for sꜣḥ “toe”
D62	I	Use as D61.
D63	I	Use as D61.
E1	ID	Determinative of cattle. ex. ng “bull,” mnmnt “cattle.” Logogram in kꜣ “bull.”
E2	ID	Determinative in smꜣ “fighting bull.” Logogram in kꜣ nḫt “victorious bull,” (epithet of Pharaoh.)
E3	D	Determinative in bḥs “calf”
E4	D	Determinative in ḥsꜣt “sacred cow.”
E5	D	Determinative in ꜣms “show solicitude.”
