id	func	details_en
R18	ID	Use as R17
R19	D	Determinative in wꜣst “Thebes.”
R20	I	Logogram in sšt “Seshat.”
R21	I	Use as R20.
R22	PI	Phonogram ḫm. In ḫm “shrine.” With standard, Logogram in mnw “Min.”
R23	PI	Use as R22
R24	D	Determinative in nit “Neith.”
R25	D	Use as R24.
S1	ID	Determinative or Logogram in ḥḏt “white crown.”
S2	ID	Determinative or Logogram in ḥḏt “white crown.”
S3	PID	Phonogram n. Determinative or Ideo in dšrt “Red Crown.”
S4	PID	Use as S3.
S5	ID	Determinative or Logogram in sḫmty “double crown.”
S6	ID	Use as S5.
S7	ID	Determinative or Logogram in ḫprš “blue crown.”
S8	ID	Determinative or Logogram in ꜣtf “atef crown.”
S9	ID	Determinative or Logogram in šwty “double plumes.”
S10	P	Phono mḏḥ. In mḏḥ “fillet.”
S11	PID	Phonogram wsḫ. Determinative or logogram in wsḫ (“broad collar”).
S12	ID	Determinative or Logogram in nbw “gold,” ḥḏ “silver.”
S13	P	Phonogram nb.
S14	I	Logogram in ḥḏ “silver.”
S15	ID	Determinative or Logogram in ṯḥn “sparkle,” ṯḥnt “faience.”
S16	ID	Use as S15.
S17	ID	Use as S15
S18	ID	Determinative or Logogram in mnit “bead necklace.”
S19	ID	Logogram in sḏꜣwty “treasurer,” sḏꜣw “precious.” Determinative or Logogram in ḫtm “seal.”
S20	I	Logogram in ḫtm “seal.”
S21	D	Determinative in iwꜥw, ꜥꜥw, sšw “ring.”
S22	PID	Phonogram sṯ. Determinative or Logogram in tꜣ-wr “port.”
S23	P	Phono dmḏ. In dmḏ “unite.”
S24	PI	Phonogram ṯs. In ṯs (“tie, knot”); logogram for ṯst (“knot, vertebra”).
S25	I	Logogram in iꜥꜣw “guide.”
S26	ID	Determinative or Logogram in šndyt “apron.”
S27	ID	Determinative or Logogram in mnḫt “clothing.”
S28	D	Determinative in ḥbs “clothing,” ḥꜣp “conceal,” kfi “uncover.”
S29	P	Phonogram s. In ꜥnḫ.(w) (w)ḏꜣ snb “may he live, be prosperous, be healthy.” (L.P.H.)
S30	P	Phonogram sf. In sf “yesterday.”
S31	P	Phonogram smꜣ. In smꜣ “fighting bull.”
S32	P	Phonogram siꜣ. In siꜣt “fringed cloth.”
S33	I	Logogram in ṯbt “sandal,” ṯbw “sandal maker.”
S34	P	Phonogram ꜥnḫ. In ꜥnḫ “live,” ꜥnḫ “sandal strap.”
S35	I	Logogram in šwt “shadow, shade.”
S36	I	Use as S35
S37	ID	Determinative or logogram in ḫw (“fan”).
S38	P	Phonogram ḥḳꜣ. The heqa-scepter (the crook); in ḥḳꜣ (“ruler, to rule”).
S39	P	Phono ꜥwt. In ꜥwt “flock.”
S40	P	Phonogram wꜣs. The was-scepter, a symbol of dominion and well-being; in wꜣs (“dominion”).
S41	P	Phonogram ḏꜥm. In ḏꜥm “fine gold.”
S42	PID	Phonogram sḫm. In sḫm “have power,” sḫm “scepter.” Determinative or Logogram in ḫrp “manage, at head.”
S43	P	Phonogram md. In mdw “speak.”
S44	ID	Determinative or Logogram in ꜣms “staff.”
S45	ID	Determinative or Logogram in nḫꜣḫꜣw “flail.”
T1	P	Phonogram mn. In mnw “mace.”
T2	D	Determinative in sqr, sqri “smite.”
T3	P	Phonogram ḥḏ. In ḥḏ “mace,” ḥḏ “white, bright,” ḥḏi “damage.”
T4	P	Use as T3
T5	P	Phonogram ḥḏ.
T6	P	Phonogram ḥḏḏ.
T7	D	Determinative in mibt, minb “axe,” mdḥ “hew.”
T8	P	Phonogram tp. In tpy “first, chief, upon.”
T9	PID	Phonogram pḏ. Determinative or logogram in pḏt (“bow”).
T10	PID	Use as T9
T11	P	Phonogram swn. In swn “perish,” swnt “physician.”
T12	PI	Phonogram rwd/rwḏ. In rwd “hard, firm.” Logogram in dꜣr “subdue.”
T13	P	Phonogram rs. In rs “wakeful.”
T14	ID	Determinative of “foreign.” Logogram in ꜥꜣm “Asiatics,” ṯḥnw “Libya.” Determinative in qmꜣ “create,” qmꜣi “create.”
T15	ID	Use as T14
T16	D	Determinative in ḫpš “scimitar.”
T17	ID	Determinative or Logogram in wrrt “chariot.”
T18	P	Phonogram šms. In šms “follow, accompany.”
T19	PD	Phonogram ḳs. In ḳs (“bone”); determinative in ḳrs (“bury”).
T20	PD	Use as T19
T21	P	Phonogram wꜥ. In wꜥ (“one”).
T22	P	Phonogram sn. In sn “brother,” sn “smell.”
T23	P	Use as T22
T24	P	Phonogram ꜥḥ/iḥ . In iḥ “net.”
T25	P	Phonogram dbꜣ/ḏbꜣ. In ḏbꜣ “adorn,” dbꜣ “replace.”
T26	ID	Determinative or Logogram in sḫt “trap, snare.”
T27	ID	Use as T26
T28	P	Phonogram ẖr. In ẖr “under,” ẖrt “portion.”
T29	I	Logogram in nmt “place of slaughter.”
T30	ID	Logogram for dmt “knife.” Determinative in dm “be sharp.”
T31	P	Phono sšm. In sšm “guide, lead.”
T32	P	Phono sšm. In sšm “guide, lead.”
T33	I	Logogram in sšm “butcher.”
T34	P	Phonogram nm. In nm “knife,” ḫnms “friend.”
T35	PID	Phonogram nm. Determinative or logogram in nm (“butcher's knife”).
U1	P	Phonogram mꜣ. In mꜣꜣ “see,” ꜣsḫ “reap.”
U2	P	Use as U1.
U3	P	Phonogram mꜣ. In mꜣꜣ “see.”
U4	P	Phonogram mꜣꜥ. In mꜣꜥ “true.”
U5	P	Use as U4.
U6	P	Phonogram mr. In mri “love.”
U7	P	Use as U6.
U8	P	Phonogram ḥn. In ḥn “hoe.”
U9	D	Determinative in bdt “emmer,” ḫꜣi “measure,” ḥqꜣt “hekat measure.”
U10	I	Logogram in it “barley.”
U11	I	Logogram in ḥqꜣt “hekat measure.”
U12	I	Logogram in ḥqꜣt “hekat measure.”
U13	P	Phonogram šnꜥ. In šnꜥ “repel.” Phono hb. In hb “plow.”
U14	P	Phonogram šnꜥ. In šnꜥ “repel.”
U15	P	Phonogram tm. In tm “be complete,” ḥtm “perish.”
U16	ID	Determinative or logogram in bỉꜣ (“marvel, wonder”). Determinative of sled.
U17	P	Phonogram grg. In grg “establish, snare,” grg “falshood, lie.”
U18	P	Variant of U17. Phonogram grg. In grg (“found, establish”).
U19	P	Phonogram nw. In nw “this.”
U20	P	Use as U19
U21	P	Phonogram stp/sṯp. In stp “choose.”
U22	D	Determinative in mnḫ “efficient,” mnḫ “carve.”
U23	P	Phonogram mr. In mr “ill,” smr “friend.” Phonogram ꜣb. In ꜣbi “desire.”
U24	I	Logogram in ḥmt “craft, art.”
U25	I	Use as U24.
U26	ID	Determinative or logogram in wbꜣ (“open up, drill”).
U27	ID	Use as U26.
U28	P	Phonogram ḏꜣ. In ꜥnḫ.(w) (w)ḏꜣ snb “may he live, be prosperous, be healthy.” (L.P.H.)
U29	P	Use as U28.
U30	P	Phonogram tꜣ. In štꜣ “hot,” tꜣ “mysterious.
U31	ID	Determinative or Logogram in rtḥty “baker,” rtḥ “restrain.”
U32	D	Determinative in smn “press down,” smn “establish.”
U33	P	Phonogram ti.
U34	P	Phonogram ḫsf. In ḫsf “repel.”
U35	P	Phonogram ḫsf.
U36	P	Phonogram ḥm. In ḥm (“majesty”) and ḥm-nṯr (“god's servant”, priest).
U37	D	Determinative in ẖꜥq “shave.”
U38	ID	Determinative or Logogram in mḫꜣt “scale.”
U39	D	Determinative in wsṯt “post,” wṯs, ṯsi “raise, lift.”
U40	D	Use as U39
U41	D	Determinative in tḫ “plumb bob.”
V1	P	Phonogram šn. In šnt “dispute,” šni “litigate,” št “hundred.”
V2	ID	Determinative in stꜣ “drag.” Logogram in sṯꜣt “aurora.”
V3	I	Logogram in r-sṯꜣw “necropolis.”
V4	P	Phonogram wꜣ. In wꜣḥ “endure.”
V5	ID	Determinative or Logogram in snṯ “plot.”
V6	P	Phonogram šs, šsr.
V7	P	Phonogram šn.
V8	P	Use as V7
V9	D	Determinative in šnw “cartouche.”
V10	D	Determinative in šnw “cartouche,” rn “name.
V11	D	Determinative in dni “restrain, dam,” pḫꜣ “split.
V12	D	Determinative in sšd “headband,” fḫ “loosen,” fḫnw “Phoenicians.
V13	P	Phonogram ṯ.
V14		Use as last.
V15	P	Phonogram iṯ. In iṯi “seize.”
V16	P	Phonogram sꜣ. In sꜣ “protection.”
V17	I	Logogram for sꜣ (“protection”). Variant of V16.
V18	I	Use as V17
V19	D	Determinative in ḫꜣr (“sack”, a measure), tmꜣ (“mat”) and mḏt (“stable”).
V20	P	Phonogram mḏ. In mḏwt “stables,” mḏ “10.”
V21	P	Phonogram mḏ.
V22	P	Phonogram mḥ. In mḥ “fill.”
V23	P	Variant of V22. Phonogram mḥ. In mḥ (“fill”) and mḥ (“cubit”).
V24	P	Phonogram wḏ. In wḏ “command, decree.”
V25	P	Variant of V24. Phonogram wḏ. In wḏ (“command, decree”).
V26	P	Phonogram ꜥd/ꜥḏ. In ꜥd “good condition.”
V27	P	Use as V26.
V28	P	Phonogram ḥ.
V29	P	Phonogram wꜣḥ, sk.
V30	P	Phonogram nb. A basket; in nb (“lord”) and nb (“all, every”).
V31	P	Phono k.
V32	PD	Determinative in gꜣwt (“bundle”) and gꜣw (“lack, absence”). Phonogram msn.
V33	ID	Determinative in ꜥrf (“enclose, pack”), sṯỉ (“scent”) and šs (“linen”). Logogram for sšrw (“grain”).
V34	ID	Use as V33.
V35	D	Variant of V33. Determinative of linen, packing.
V36	P	Phonogram ḥn. In ḥnt “occupation.”
V37	ID	Determinative or Logogram in idr “bandage, bind,” idr “herd.”
V38	D	Determinative in wt “bandage.”
V39	I	Logogram in tit “Isis knot.”
W1	D	Determinative in mḏt “ointment,” mrḥt “oil.”
W2	P	Phonogram bꜣs. In bꜣstt “Bastet,” bꜣs “oil jar.”
W3	ID	Determinative or Logogram in ḥb “feast,” ḥb “mourn.”
W4	ID	Determinative or Logogram in ḥb “feast,” tp-rnpt “feat of the first of the year.”
W5	I	Ideo in ẖry-ḥbt “lector priest.”
W6	D	Determinative in wḥt “cauldron.”
W7	D	Determinative in ꜣbt “family,” mꜣṯ “proclaim.”
W8	D	Use as W7.
W9	P	Phonogram ẖnm.
W10	PID	Phonogram ḥnw. In ḥnwt “mistress.” Determinative or Logogram in wsḫ “wide.”
W11	PID	Phonogram g. Determinative or Logogram in nst “throne.”
W12	PID	Use as W11.
W13	ID	Determinative or logogram in dšrt (“red pot, red ware”).
W14	P	Phonogram ḥs. In ḥst “water jar.”
W15	ID	Determinative or Logogram in qbb, qbḥ “cool, water.”
W16	ID	Use as W15.
W17	P	Phonogram ḫnt. In ḫntw “jar rack.”
W18	P	Use as W17
W19	P	Phonogram mi. In mi “likeness.”
W20	D	Determinative in irtt “milk.”
W21	D	Determinative in irp “wine.”
W22	ID	Logogram in ḥnqt “beer.” Determinative in qrḥt “vessel.”
W23	ID	Use as W22.
W24	P	Phonogram nw, in, ink.
W25	P	Phonogram in. In ini “fetch, bring.”
X1	PI	Phonogram t. Logogram in t “bread.”
X2	ID	Determinative of bread. In t “bread.” Logogram in dḥwty “Thoth.”
X3	ID	Use as X2
X4	D	Determinative of bread, food; in words with sn (from snw, “food offerings”).
X5	D	Determinative in ꜥqw “provisions.”
X6	D	Determinative in pꜣt “loaf.”
X7	D	Determinative in snw “offerings.” When doubled, wnm “eat.”
X8	P	Phonogram di. In rdi “give.”
Y1	PID	Phonogram mḏꜣt. Logogram in mḏꜣt “paypyrus roll, book.” Determinative in rḫ “know.”
Y2	PID	Use as Y1
Y3	ID	Determinative or Logogram in sš “write,” nꜥꜥ “smooth.”
Y4	ID	Use as Y3
Y5	P	Phonogram mn. In imn “Amun” mn “remain.”
Y6	ID	Determinative or Logogram in ibꜣ “game piece,” “dance.”
Y7	D	Determinative in bnt “harp.”
Y8	D	Determinative in sššt “sistrum.”
Z1	ID	Follows Ideograms. Determinative wꜥ “one.” Logogram numerals 1-9.
Z2	D	Determinative of plurality.
Z3	D	Same as Z2.
Z4	D	Determinative Duality
Z5		Replacement for complex or dangerous signs, human figures.
Z6	D	Hieratic substitute for A13 and A14. Determinative of death, enemy.
Z7	P	Phonogram w.
Z8	D	Determinative of round.
Z9	P	Phonogram swꜣ. In swꜣ “pass.”
Z10	P	Use as Z9.
Z11	P	Phonogram ỉm. In ỉmỉ (“who is in”). Variant of M42.
Aa1	P	Phonogram ḫ.
Aa2	D	Determinative in bodily growths or conditions.
Aa3	D	Use as Aa2.
Aa4	P	Variant of W10a.
Aa5	P	Phonogram ḥp.
Aa6	D	Determinative in tmꜣ “mat.”
Aa7	D	Determinative in sqr “smite.”
Aa8	PD	Phonogram ḳn. In ḳnỉ (“brave, capable”); determinative in spꜣt (“district, estate”).
Aa9	D	Determinative in ḫwd “rich.”
Aa10	D	Determinative in drf “writing.”
Aa11	P	Phonogram mꜣꜥ. In mꜣꜥ (“true, correct”).
Aa12	P	Use as Aa11.
Aa13	P	Phonogram im, m.
Aa14	P	Phonogram im, m.
Aa15	P	Phonogram im, m.
Aa17	P	Phonogram sꜣ. In sꜣ “back.”
Aa18	P	Use as Aa17
Aa19	D	Determinative in ḥr “prepare,” ḥryt “dread.”
Aa20	P	Phonogram ꜥpr. In ꜥpr “equip.”
Aa21	P	Phonogram wḏꜥ. In wḏꜥ “judge.”
Aa22	P	Use as Aa21.
Aa23	D	Determinative in mḏd “puncture, press, adhere.”
Aa24	D	Use as Aa23.
Aa25	I	Logogram in smꜣ “stolist” (priestly title).
Aa26	D	Determinative in sbi “rebel.”
Aa27	P	Phonogram nḏ. In nḏ “ask, inquire.”
Aa28	P	Phonogram qd. In qd “build.”
Aa29	P	Use as Aa28.
Aa30	ID	Determinative or logogram in ẖkr (“adorn; ornament”).
Aa31	ID	Use as Aa30.
